,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag
185,VIG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/saint-vincent-and-the-grenadines.7fced72f286e19151a78.svg
186,SUD,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/sudan.8bce25dfb45839c5acec.svg
187,SUR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/suriname.8751b14ef83bd47d5095.svg
188,SYR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/syria.344eb078131bc43582a0.svg
189,TAN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tanzania.0ed454510b1736ab5cc3.svg
190,TLS,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/timor.0012bcb0235a10d17290.svg
191,TOG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/togo.56a6e6269443e244832a.svg
192,TGA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tonga.4173b31605e20b4eff93.svg
193,TTO,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/trinidad-and-tobago.550e9df32b915405fd1f.svg
194,TKM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/turkmenistan.bae6841d4d2d0c2b2fa6.svg
195,TUV,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tuvalu.472ea4530bd1de6544ae.svg
196,UAE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/united-arab-emirates.1b6c1576dc7ad98cc23e.svg
197,URU,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/uruguay.f2d02184fb6da703e6c9.svg
198,VAN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/vanuatu.6a2ae551ea7f7e1ca8b6.svg
199,VEN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/venezuela.868fcdaf26e8b622bdcc.svg
200,VIE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/vietnam.7fa2d487913195c25dad.svg
201,BVI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/british-virgin-islands.daaa5499a2a4e46331cc.svg
202,AVI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/american-virgin-islands.7946184785b11b606385.svg
