,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
931,Poland,2, Men ,Volleyball,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PL.svg
932,USA,3, Men ,Volleyball,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
933,Italy,1, Women ,Volleyball,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
934,USA,2, Women ,Volleyball,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
935,Brazil,3, Women ,Volleyball,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BR.svg
936,Serbia,1, Men ,Water Polo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/RS.svg
937,Croatia,2, Men ,Water Polo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HR.svg
938,USA,3, Men ,Water Polo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
939,Spain,1, Women ,Water Polo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
940,Australia,2, Women ,Water Polo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
941,Netherlands,3, Women ,Water Polo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
942,L.Talakhadze,1, Over 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GE.svg
943,V.Lalayan,2, Over 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AM.svg
944,G.Minasyan,3, Over 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BH.svg
945,W.Li,1, Over 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
946,H.Park,2, Over 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
947,E.Campbell,3, Over 81 kg (F) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
948,H.Liu,1, Up to 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
949,A.Djuraev,2, Up to 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UZ.svg
950,Y.Tsikhantsou,3, Up to 102 kg (M) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BY.svg
951,Z.Hou,1, Up to 49 kg (F) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
952,M.Cambei,2, Up to 49 kg (F) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/RO.svg
953,S.Khambao,3, Up to 49 kg (F) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TH.svg
954,S.Luo,1, Up to 59 kg (F) ,Weightlifting,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
955,M.Charron,2, Up to 59 kg (F) ,Weightlifting,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
956,H.-C.Kuo,3, Up to 59 kg (F) ,Weightlifting,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TW.svg
